BGMId,OrchestrionId,Name
363,0,"No Sound, No Scutter"
364,118,
365,73,
366,34,
367,19,
368,227,
369,111,
370,0,test
371,135,
372,137,
373,33,
374,73,
375,17,
376,44,
377,427,
378,376,
379,262,
380,148,
381,443,
382,79,
383,397,
384,71,
385,124,
386,66,
387,579,
388,0,Bathed in Woodsin
389,0,Emerald Labyrinth
390,0,Enraptured
391,0,Tears for Mor Dhona
392,97,
393,144,
394,145,
395,397,
396,70,
397,109,
398,88,
399,0,The Merry Wanderer Waltz
400,219,
401,100,
402,107,
403,0,The Gauntlet
404,28,
405,103,
406,217,
407,156,
408,81,
409,98,
410,99,
411,112,
412,0,Mobius
413,113,
414,0,Out of Time
415,107,
416,0,Mobius
417,138,
418,0,test
419,0,Penultimania
420,132,
421,131,
422,146,
423,147,
424,138,
425,12,
426,149,
427,0,Null BGM
428,201,
429,0,Revolutions / A Father's Pride / The Measure of Our Reach
430,287,
431,0,With Giants Watching
432,246,
433,174,
434,283,
435,603,
436,175,
437,203,
438,603,
439,161,
440,284,
441,603,
442,176,
443,285,
444,603,
445,177,
446,286,
447,603,
448,162,
449,204,
450,603,
451,178,
452,205,
453,603,
454,163,
455,206,
456,603,
457,226,
458,226,
459,0,Heroes of Stormblood
460,173,
461,172,
462,0,test
463,226,
464,198,
465,224,
466,157,
467,158,
468,184,
469,185,
470,214,
471,500,
472,180,
473,181,
474,228,
475,325,
476,213,
477,212,
478,182,
479,265,
480,0,Omega^2
481,580,
482,255,
483,0,Wing and a Prayer
484,0,Wing and a Prayer
485,226,
486,201,
487,0,Prelude - Long March Home / Measure of His Reach
488,0,Shell-Shocked
489,225,
490,613,
491,0,Riot
492,0,At Both Ends
493,0,Riot
494,158,
495,0,Procedamus in Peace
496,0,Wizardly
497,0,Victory
498,179,
499,291,
500,202,
501,109,
502,112,
503,111,
504,183,
505,185,
506,186,
507,187,
508,188,
509,0,Victory
510,0,Save / Load Screen
511,0,Character Creation
512,189,
513,0,Decisive Battle
514,190,
515,0,The Enemy Approaches
516,193,
517,0,Forever in Flames
518,207,
519,199,
520,220,
521,215,
522,747,
523,216,
524,208,
525,209,
526,210,
527,211,
528,0,The Phantom Train to Sigmascape
529,0,The Decisive Battle
530,257,
531,258,
532,259,
533,260,
534,255,
535,0,Dancing Mad IV Hushed
536,216,
537,0,Calling
538,581,
539,443,
540,231,
541,240,
542,0,Lunacy
543,241,
544,0,Fallen Angel (From Astral to Umbral)
545,0,Primal Judgment (From Astral to Umbral)
546,0,Under the Weight (From Astral to Umbral)
547,191,
548,238,
549,239,
550,0,Quest Complete! - Proof of a Hero version
551,229,
552,241,
553,232,
554,233,
555,0,Ascent
556,234,
557,0,Boss Theme
558,235,
559,236,
560,0,Victory
561,237,
562,237,
563,0,Crown of the Ancient Tree
564,239,
565,182,
566,175,
567,203,
568,603,
569,0,???
570,0,"Wasshoi, Wasshoi!"
571,0,Second Council Meeting - Tension
572,0,Quest Failed
573,422,
574,266,
575,0,A Dream in Flight (2nd movement)
576,267,
577,92,
578,0,Inner Recess
579,0,Neverborn
580,245,
581,748,
582,252,
583,251,
584,250,
585,261,
586,263,
587,264,
588,252,
589,275,
590,378,
591,275,
592,0,The Chase/Crazy Motorcycle
593,573,
604,0,Broken Down
605,299,
606,300,
607,301,
608,0,Daemons
609,0,Prayer de LUNA
610,0,Safe Haven
611,302,
612,0,Horrors of the Night
613,303,
614,304,
615,0,Saint Ajora's Theme
616,0,Poachers' Den
617,0,Epilogue
618,292,
619,786,
620,293,
621,0,Intrigue
622,294,
623,0,Bloody Excrement
624,295,
625,296,
626,297,
627,529,
628,298,
629,0,Final Struggle / Hall of Worship
630,360,
631,361,
632,0,The Garden of Ru'Hmet
633,289,
634,290,
635,268,
636,201,
637,67,
638,0,The Merry Wanderer Waltz
639,269,
640,268,
641,271,
642,0,Air Force One Victory
643,0,Air Force One Fail
644,96,
645,0,Revolutions / The Measure of Our Reach
646,316,
647,423,
648,444,
649,0,Tears in the Rain
650,424,
651,0,High Treason
652,0,More than Truth
653,0,Paradisaical Predicaments
654,316,
655,316,
656,0,Vamo' alla Flamenco
657,0,???
658,0,The Lute
659,331,
660,334,
661,332,
662,335,
663,307,
664,336,
665,308,
666,337,
667,309,
668,338,
669,310,
670,339,
671,311,
672,340,
673,312,
674,341,
675,379,
676,380,
677,329,
678,329,
679,329,
680,329,
681,329,
683,313,
684,314,
685,0,Who Brings Shadow
686,343,
687,317,
688,318,
689,319,
690,320,
691,321,
692,322,
693,323,
694,324,
695,330,
696,0,Blue Fields
697,0,Force Your Way
698,328,
699,381,
700,313,
701,314,
702,328,
703,7,
704,0,Four-fold Knowing
705,0,Who Brings Shadow / Tomorrow and Tomorrow / Masquerade / High Treason / Knowledge Never Sleeps / The Dark Which Illuminates the World
706,792,
707,316,
708,316,
709,316,
710,218,
711,342,
712,0,Such as it Is
713,0,Null BGM
714,0,The Darks' Kiss
715,381,
716,425,
717,333,
718,348,
719,345,
720,377,
721,220,
722,347,
723,793,
724,0,Stasis Loop
725,279,
726,282,
727,344,
728,343,
729,346,
730,19,
731,361,
732,350,
733,351,
734,0,Vague Hope
736,353,
737,354,
738,355,
739,356,
740,357,
741,372,
742,0,Ami
743,371,
744,0,Gangos
745,581,
746,366,
747,428,
748,0,Insatiable (The Primals)
749,370,
750,363,
751,364,
752,365,
753,366,
754,363,
755,242,
756,67,
757,579,
758,47,
759,706,
760,385,
761,315,
762,316,
763,0,Dawn of a New Era
764,0,Forever at Your Side
765,0,The Isle of Endless Summer
766,383,
767,440,
768,386,
769,0,Echoes in the Dark
771,386,
772,387,
773,389,
774,390,
775,391,
776,392,
777,393,
778,386,
779,389,
780,399,
781,0,City Ruins (Rays of Light) (Instrumental)
782,400,
783,401,
784,402,
785,403,
786,0,Torn From the Heavens/The Dark Colossus Destroys All (Medley)
787,0,Unrest (Zodiac Age Version)
788,428,
789,61,
790,240,
791,410,
792,411,
793,412,
794,413,
795,0,Giving Chase (Zodiac Age Edition)
796,415,
797,561,
798,416,
799,0,Don't Be Afraid
800,0,The Legendary Beast
801,419,
802,0,The Extreme
803,411,
804,419,
805,0,Lunar Whale (Shadowbringers)
806,0,Treasured Memory
807,437,
808,438,
809,463,
810,439,
811,437,
812,112,
813,0,Four-fold Knowing
814,561,
815,27,
816,464,
817,465,
819,352,
820,467,
821,468,
822,0,Weight of the World
823,0,Voice of no Return
824,471,
825,472,
826,473,
827,474,
829,0,Endwalker
830,499,
831,0,Flow (instrumental)
832,0,Each Drop
833,0,Answers (Piano Version)
834,0,The Last Stand
835,0,Heroes Forge Ahead
836,0,Dynamis
837,0,Spoken without End
838,0,What Comes of Despair
839,0,Shade's Delight
840,522,
841,0,The Tale of the Star
842,405,
843,0,Imagination (Duality)
844,45,
845,487,
846,515,
847,516,
848,517,
849,518,
850,488,
851,489,
852,519,
853,490,
854,520,
855,491,
856,521,
857,492,
858,493,
859,523,
860,745,
861,746,
862,494,
863,0,Those We Can Yet Save
864,524,
865,495,
866,495,
867,495,
868,495,
869,582,
870,482,
871,483,
872,507,
873,508,
874,475,
875,476,
876,477,
877,478,
878,479,
879,480,
880,481,
881,306,
882,496,
883,497,
884,707,
885,485,
886,486,
887,0,Prelude - Tales
888,0,???
889,482,
890,483,
891,486,
892,0,Roads Less Traveled
893,0,Tremble
894,522,
895,0,Roads Less Traveled
896,0,Endwalker - Footfalls (Instrumental)
897,0,From Below
898,45,
899,509,
900,25,
901,75,
902,0,Endwalker (short)
903,644,
904,590,
905,503,
906,514,
907,243,
908,525,
909,526,
910,527,
911,506,
912,510,
913,511,
914,512,
915,513,
917,507,
918,0,Thus Spoke Master PuPu
919,357,
920,398,
921,33,
922,397,
923,46,
924,130,
925,61,
926,79,
927,262,
928,0,Sorrow and Loss (Endwalker)
929,546,
930,536,
931,544,
932,545,
933,537,
934,538,
935,447,
936,539,
937,540,
938,541,
939,542,
940,543,
941,536,
942,543,
943,545,
944,447,
945,539,
946,0,Inexorable
947,0,Polygons of Inquiry
948,566,
949,565,
950,0,From The Heavens (Orchestral Version)
951,0,Torn from the Heavens (Orchestral Version)
952,567,
953,568,
954,621,
955,0,Oblivion (Pulse)
956,624,
957,460,
958,569,
959,570,
960,571,
961,565,
962,265,
963,264,
964,263,
965,591,
966,592,
967,602,
968,593,
969,594,
970,595,
971,596,
972,203,
973,0,Storm of Blood
974,597,
975,598,
976,599,
977,600,
978,601,
979,592,
980,600,
981,203,
982,597,
983,594,
984,595,
985,587,
986,644,
987,614,
988,625,
989,643,
990,648,
991,649,
992,645,
993,646,
994,647,
995,614,
996,648,
997,649,
998,0,Prelude - Tales
999,0,Endwalker - Footfalls/Vibrant Voices/Troian Beauty (Endwalker)/Forged in Crimson/Another Moon/???/The Ewer Brimmeth
20001,636,
20002,637,
20003,638,
20004,639,
20005,640,
20006,652,
20007,653,
20008,654,
20009,655,
20010,656,
20011,655,
20012,657,
20013,0,Sir Falls-A-Lot (William Fell)
20014,0,Fall 'N' Roll
20015,0,Clumsy Shuffle
20016,0,Fall for the Queen Bean
20017,0,Final Fall
20018,0,???
20019,0,???
20020,0,Didn't Fall! (You Win)
20021,657,
20023,687,
20024,687,
20025,688,
20026,0,???
20027,0,???
20028,0,???
20029,0,???
20030,0,???
20031,0,???
20032,0,???
20033,0,???
20034,0,???
20035,0,???
20036,0,???
20037,0,???
20038,0,???
20039,0,???
20040,0,???
20041,0,Swords of Fury (FFIX)
20042,0,???
20043,0,Something to Protect (FFIX)
20044,0,???
20045,673,
20046,0,???
20047,674,
20048,675,
20049,0,???
20050,676,
20051,0,???
20052,677,
20053,0,???
20054,678,
20055,0,???
20056,679,
20057,0,???
20058,680,
20059,680,
20060,0,???
20061,0,???
20062,681,
20063,682,
20064,683,
20065,684,
20066,684,
20067,684,
20068,684,
20069,684,
20070,0,???
20071,0,???
20072,666,
20073,667,
20074,0,???
20075,0,???
20076,0,Punuitiy Crossing
20077,659,
20078,660,
20079,661,
20080,662,
20081,663,
20082,664,
20083,665,
20084,685,
20085,0,???
20086,0,???
20094,0,???
20095,666,
20096,667,
20097,0,Battle 1 from FINAL FANTASY IX
20100,0,???
20101,0,???
20102,0,???
20103,0,???
