RowId,ENpcResidentId,TerritoryTypeId,MapId,PlaceNameId,Position
52,1000243,133,3,53,14.6;8.6
53,1000244,154,7,57,29.9;19
54,1000248,133,3,53,14.1;6.2
55,1000251,133,3,53,14.1;5.8
56,1000254,133,3,53,14.3;5.8
57,1000257,133,3,53,14.2;6.6
58,1000263,133,3,53,14;5.7
59,1000267,133,3,53,13.3;6.9
60,1000277,152,5,55,23.5;25.2
61,1000286,133,3,53,10.1;8.8
62,1000292,133,3,53,6.5;8.3
63,1000294,133,3,53,6.4;8.3
64,1000295,133,3,53,6.5;8.1
65,1000297,133,3,53,6.5;7.5
66,1000300,133,3,53,7.7;8
67,1000301,133,3,53,9.4;7.7
68,1000311,133,3,53,7.3;9.2
69,1000312,153,6,56,26.8;17.3
70,1000315,133,3,53,7.9;10.8
71,1000323,133,3,53,6.5;11
72,1000324,154,7,57,28.1;20
73,1000327,153,6,56,25;20.6
74,1000328,153,6,56,24.5;20
75,1000331,153,6,56,24.6;20.4
76,1000332,153,6,56,25.6;20.6
77,1000334,153,6,56,25;20.6
78,1000338,153,6,56,26.8;16.4
79,1000340,153,6,56,27;16.3
80,1000341,153,6,56,27.4;16.5
81,1000352,133,3,53,12.5;8.2
82,1000357,133,3,53,12.6;7.8
83,1000370,132,2,52,12;13.5
84,1000371,132,2,52,12;13.4
85,1000372,132,2,52,12;13.4
86,1000375,132,2,52,12;13.1
87,1000384,132,2,52,11.8;13.4
88,1000389,132,2,52,12;13.1
89,1000391,133,3,53,12.5;8.3
90,1000392,132,2,52,10.8;12.1
91,1000393,153,6,56,19.6;18.1
92,1000396,148,4,54,23.1;19.4
93,1000408,148,4,54,23.6;19.9
94,1000409,148,4,54,23.4;20
95,1000411,148,4,54,24.1;20.1
96,1000420,153,6,56,24.4;20
97,1000421,148,4,54,23.4;19.9
98,1000423,132,2,52,15.8;12.1
99,1000429,133,3,53,12.3;8.5
100,1000430,148,4,54,25.5;19.4
101,1000432,148,4,54,23.6;20
102,1000435,148,4,54,18.9;20.5
103,1000436,148,4,54,17.6;19.1
104,1000437,152,5,55,21.8;25.9
105,1000438,153,6,56,17.2;22.2
106,1000439,153,6,56,17.2;22.2
107,1000448,154,7,57,15.7;27.2
108,1000449,148,4,54,25.5;19.3
109,1000455,148,4,54,26.8;21.2
110,1000456,148,4,54,15.4;24
111,1000460,133,3,53,8;11.1
112,1000461,148,4,54,27.2;20.8
113,1000465,148,4,54,27.4;23.8
114,1000470,148,4,54,20.3;22
115,1000471,148,4,54,20.2;21.6
116,1000473,148,4,54,20.5;20.8
117,1000474,148,4,54,20.6;22.7
118,1000476,148,4,54,22;21.7
119,1000478,148,4,54,21.7;21.9
120,1000483,148,4,54,23.1;22.8
121,1000484,148,4,54,21.5;21
122,1000491,148,4,54,22.4;26
123,1000494,148,4,54,22.4;25.8
124,1000501,148,4,54,25.1;27.9
125,1000502,148,4,54,25.1;27.8
126,1000503,148,4,54,25;28.1
127,1000505,148,4,54,25.4;27.4
128,1000507,148,4,54,25;27.7
129,1000512,148,4,54,27.7;24.6
130,1000513,148,4,54,27.5;24.6
131,1000514,148,4,54,27.4;24.9
132,1000515,148,4,54,27.3;24.9
133,1000516,148,4,54,27.1;25.2
134,1000534,148,4,54,24.1;20
135,1000535,152,5,55,9.8;23.5
136,1000536,152,5,55,16.6;27.2
137,1000540,152,5,55,16.7;27.1
138,1000542,132,2,52,11.9;13
139,1000545,152,5,55,16.6;27.2
140,1000553,152,5,55,17.7;27.3
141,1000557,152,5,55,17.3;27.5
142,1000561,152,5,55,16.8;27
143,1000563,152,5,55,21.4;25.8
144,1000576,152,5,55,21.9;25.9
145,1000578,152,5,55,23.5;25.2
146,1000579,152,5,55,21.8;25.8
147,1000580,152,5,55,21.9;25.6
148,1000584,152,5,55,22.3;26.1
149,1000585,152,5,55,21.9;26.3
150,1000587,152,5,55,21.3;26.8
151,1000590,153,6,56,18.1;19.8
152,1000594,153,6,56,18.1;19.9
153,1000595,153,6,56,17.9;19.7
154,1000597,153,6,56,18.2;19.9
155,1000598,153,6,56,18;19.7
156,1000612,154,7,57,28.6;25.7
157,1000615,152,5,55,16.5;27
158,1000617,152,5,55,21.5;26.8
159,1000619,152,5,55,17.2;26.3
160,1000621,154,7,57,28.7;27.4
161,1000627,154,7,57,27.5;27.9
162,1000629,154,7,57,28.3;28.3
163,1000632,154,7,57,28;27.9
164,1000640,154,7,57,27.8;19.8
165,1000656,154,7,57,29.4;19.3
166,1000671,154,7,57,29.1;18.7
167,1000681,133,3,53,12.4;8.4
168,1000685,148,4,54,27.2;20.8
169,1000686,132,2,52,9.9;12.5
170,1000691,133,3,53,12.6;7.9
171,1000692,133,3,53,6;10.6
172,1000705,133,3,53,6.3;11
173,1000717,148,4,54,24.9;27.8
174,1000718,154,7,57,28.1;28.1
175,1000731,153,6,56,15.3;18
176,1000732,153,6,56,15.3;18
177,1000734,148,4,54,21.4;22.2
178,1000740,148,4,54,26.6;25.3
179,1000741,148,4,54,20.1;21.7
180,1000742,148,4,54,20.3;22.2
181,1000748,148,4,54,18.9;20.6
182,1000756,152,5,55,21.8;29.3
183,1000764,154,7,57,25.8;28.2
184,1000766,152,5,55,11.7;25
185,1000767,152,5,55,11.8;25.6
186,1000768,133,3,53,14.6;9.4
187,1000774,133,3,53,5.2;7.8
188,1000775,133,3,53,6.4;8.3
189,1000776,155,53,63,23.7;24.3
190,1000777,155,53,63,21.5;30.1
191,1000784,154,7,57,27.7;29
192,1000786,133,3,53,8.4;8.9
193,1000788,133,3,53,10.3;8.5
194,1000789,133,3,53,10.5;8.8
195,1000792,148,4,54,23.5;20.7
196,1000793,148,4,54,22;19.3
197,1000794,148,4,54,23.7;19.4
198,1000795,153,6,56,27;20.7
199,1000815,133,3,53,6.5;7.8
200,1000821,152,5,55,17.2;27.1
201,1000823,153,6,56,25.5;20.2
202,1000856,129,12,29,8.1;15.2
203,1000857,129,12,29,7.9;14.5
204,1000859,129,12,29,7.9;14.2
205,1000895,129,12,29,4.5;11.2
206,1000898,129,12,29,4.3;11.3
207,1000899,129,12,29,4.3;11.3
208,1000909,129,12,29,4.7;11.4
209,1000911,129,12,29,4.5;11.3
210,1000914,129,12,29,4.4;11.9
211,1000915,128,11,28,11.6;7.9
212,1000916,128,11,28,11.2;7.9
213,1000918,128,11,28,12.9;13.8
214,1000919,128,11,28,12.1;13.9
215,1000926,128,11,28,11;6.3
216,1000927,128,11,28,11.2;6.1
217,1000937,128,11,28,10.9;6.2
218,1000938,128,11,28,11.1;6.4
219,1000946,128,11,28,10;7.9
220,1000947,128,11,28,10.1;8.2
221,1000950,128,11,28,9.9;7.9
222,1000956,128,11,28,10.1;8
223,1000957,128,11,28,10.2;8.3
224,1000959,128,11,28,9.9;8.4
225,1000962,128,11,28,9.5;8.4
226,1000965,128,11,28,9.7;8.5
227,1000969,181,11,27,11.3;11.5
228,1000970,128,11,28,10.9;10.9
229,1000971,128,11,28,10.2;15.1
230,1000972,128,11,28,11.6;11.1
231,1000973,128,11,28,9.4;8.1
232,1000981,128,11,28,11.4;11.3
233,1000984,128,11,28,11.3;11.1
234,1000995,128,11,28,10.1;15
235,1000996,128,11,28,10.6;15.1
236,1000997,128,11,28,10.6;14.9
237,1000998,128,11,28,10.2;15
238,1000999,128,11,28,10.6;15.1
239,1001000,128,11,28,10.5;15.4
240,1001001,128,11,28,10.1;14.8
241,1001005,128,11,28,10.1;15.4
242,1001009,128,11,28,10.6;15.4
243,1001011,128,11,28,10;15.2
244,1001015,128,11,28,11.3;8.1
245,1001016,128,11,28,10.3;13.6
246,1001023,129,12,29,9.6;10.7
247,1001024,128,11,28,11.8;14.7
248,1001027,129,12,29,12.1;11
249,1001028,181,11,27,10.4;11.1
250,1001029,129,12,29,11.4;10.9
251,1001140,132,2,52,11.7;13.5
252,1001148,132,2,52,13.5;14.1
253,1001173,148,4,54,19.2;28.2
254,1001186,153,6,56,24.4;20.3
255,1001194,152,5,55,13.1;22.7
256,1001202,129,12,29,8.5;11.4
257,1001203,129,12,29,8.1;11.6
258,1001204,129,12,29,8.6;11.8
259,1001205,129,12,29,6.5;11.9
260,1001207,129,12,29,6;12.3
261,1001208,129,12,29,6.6;12.2
262,1001209,129,12,29,9.1;11.5
263,1001213,152,5,55,20.1;26.1
264,1001217,129,12,29,8.4;11.5
265,1001276,132,2,52,11.5;11.2
266,1001280,148,4,54,23.2;19
267,1001285,130,13,40,9.8;8.7
268,1001286,130,13,40,9.4;10.2
269,1001287,130,13,40,9.6;10.2
270,1001288,130,13,40,8.2;11.5
271,1001289,130,13,40,7;12.6
272,1001291,130,13,40,7.9;12
273,1001292,130,13,40,8.7;11.2
274,1001294,130,13,40,6.9;12.6
275,1001295,131,14,41,9.4;11.8
276,1001297,131,14,41,13.2;12.3
277,1001299,131,14,41,10.8;14.3
278,1001301,130,13,40,11.5;9.5
279,1001304,156,25,67,21.9;4.9
280,1001308,130,13,40,11.8;9
281,1001309,130,13,40,11.9;8.9
282,1001313,130,13,40,11.5;9.1
283,1001353,130,13,40,11.6;9.6
284,1001354,130,13,40,10.5;9.4
285,1001361,130,13,40,8.9;12.8
286,1001379,130,13,40,8.1;9.3
287,1001390,130,13,40,7.7;11
288,1001425,141,21,43,23.7;13.6
289,1001426,141,21,43,23.9;13.7
290,1001427,141,21,43,23.5;13.9
291,1001428,141,21,43,23.8;14.2
292,1001434,141,21,43,20.7;18.5
293,1001436,141,21,43,20.6;17.4
294,1001438,141,21,43,20.8;18.5
295,1001439,141,21,43,20.6;18.4
296,1001445,141,21,43,21.2;17.7
297,1001447,141,21,43,20.8;18.5
298,1001455,141,21,43,22.6;26.5
299,1001457,141,21,43,22.8;26.5
300,1001460,141,21,43,19.5;20.5
301,1001462,141,21,43,19.6;20.6
302,1001463,141,21,43,20;20.3
303,1001465,141,21,43,19.6;20.4
304,1001466,141,21,43,19.6;20.4
305,1001469,141,21,43,20.5;24.3
306,1001474,141,21,43,21;25.1
307,1001484,141,21,43,23.3;16
308,1001497,141,21,43,23.2;27.9
309,1001500,141,21,43,23.1;27.7
310,1001537,128,11,28,10;7.9
311,1001539,129,12,29,5.2;15.1
312,1001540,129,12,29,7.1;12.3
313,1001541,141,21,43,19.4;20.6
314,1001563,141,21,43,21.3;18.4
315,1001564,141,21,43,21.2;18.5
316,1001578,141,21,43,20.7;18.3
317,1001602,141,21,43,23.4;16
318,1001603,141,21,43,23.2;16.3
319,1001604,141,21,43,16.3;21.9
320,1001605,141,21,43,23.3;16
321,1001634,130,13,40,8.6;9.4
322,1001646,130,13,40,9.4;9.7
323,1001657,131,14,41,13.1;10.5
324,1001675,131,14,41,9.4;11.4
325,1001678,130,13,40,11.6;9
326,1001679,131,14,41,14;10
327,1001680,131,14,41,11.8;13.2
328,1001685,131,14,41,14;13.1
329,1001691,131,14,41,14;13.3
330,1001692,131,14,41,13.7;13
331,1001693,131,14,41,13.7;13
332,1001697,131,14,41,13.2;12.3
333,1001698,131,14,41,12.9;12.5
334,1001708,130,13,40,6.2;12.8
335,1001709,130,13,40,6.4;12.9
336,1001710,130,13,40,6.4;12.9
337,1001711,130,13,40,6.4;12.9
338,1001712,130,13,40,6.4;12.9
339,1001739,131,14,41,9.3;12
340,1001766,131,14,41,9.2;13.9
341,1001787,129,12,29,9.9;11.4
342,1001788,138,18,33,34.8;31.7
343,1001791,138,18,33,27.7;27.1
344,1001794,130,13,40,12;9
345,1001796,140,20,42,23.1;16.5
346,1001799,145,22,44,13.9;24
347,1001821,131,14,41,10.7;12.9
348,1001857,131,14,41,10.3;10.9
349,1001859,130,13,40,8.3;10.9
350,1001894,130,13,40,12.2;8.1
351,1001914,131,14,41,12.6;11.9
352,1001937,131,14,41,12;10.4
353,1001939,131,14,41,11.3;10.4
354,1001940,131,14,41,12.6;10.4
355,1001942,131,14,41,10.6;11
356,1001945,131,14,41,9;13.8
357,1001949,131,14,41,9.5;12.9
358,1001963,131,14,41,13.3;9.8
359,1001964,131,14,41,13.6;9.8
360,1001965,131,14,41,13.6;10
361,1001966,131,14,41,13.7;9.5
362,1001967,131,14,41,13.8;9.7
363,1001968,131,14,41,13.9;9.8
364,1001970,131,14,41,13.9;11
365,1001972,131,14,41,14.2;11
366,1001973,131,14,41,14.2;11.2
367,1001974,130,13,40,9.8;9
368,1001975,130,13,40,7.9;11.3
369,1001977,131,14,41,10;12.5
370,1001978,130,13,40,12.3;8.3
371,1001992,140,20,42,25.9;24.3
372,1002001,140,20,42,26;24.1
373,1002005,140,20,42,26;24.2
374,1002006,140,20,42,25.9;24.3
375,1002014,140,20,42,16.4;29.5
376,1002022,140,20,42,21.7;22.7
377,1002027,140,20,42,16.3;29.6
378,1002030,140,20,42,15.5;28.1
379,1002044,140,20,42,16.4;29.6
380,1002047,140,20,42,17;29.5
381,1002049,140,20,42,20.3;27.9
382,1002056,140,20,42,22.6;17.3
383,1002058,140,20,42,22.6;17.1
384,1002061,140,20,42,26.2;18.2
385,1002062,140,20,42,26.2;18.2
386,1002064,140,20,42,23.1;17.2
387,1002065,140,20,42,22.6;17.3
388,1002066,140,20,42,17.9;16
389,1002067,140,20,42,17.9;16
390,1002068,140,20,42,15.7;18.5
391,1002069,140,20,42,15.7;18.5
392,1002070,140,20,42,15.6;18.1
393,1002071,140,20,42,14.9;18.9
394,1002079,128,11,28,11.1;9.1
395,1002107,129,12,29,8;14.5
396,1002108,134,15,30,20.3;22.3
397,1002110,138,18,33,27.8;26.9
398,1002111,134,15,30,17.3;20.6
399,1002112,135,16,31,32.7;19.8
400,1002113,138,18,33,27.7;25.7
401,1002115,135,16,31,32.7;19.8
402,1002119,134,15,30,25.2;27.3
403,1002221,135,16,31,27.1;17.2
404,1002229,135,16,31,21.4;33.4
405,1002231,135,16,31,23.5;28
406,1002232,135,16,31,25.1;33.7
407,1002233,135,16,31,25.9;33.9
408,1002234,135,16,31,25.1;33.1
409,1002235,135,16,31,26.2;33.2
410,1002236,135,16,31,25.1;35
411,1002237,135,16,31,24.8;35.1
412,1002238,135,16,31,26.4;33.7
413,1002240,135,16,31,23.8;36.1
414,1002274,135,16,31,20.7;38.7
415,1002277,131,14,41,9.2;11.7
416,1002278,130,13,40,9.4;10.1
417,1002279,130,13,40,7.3;12.4
418,1002280,131,14,41,10.5;13.1
419,1002281,131,14,41,8.9;13.6
420,1002282,131,14,41,11.3;14.3
421,1002283,131,14,41,13.9;13.2
422,1002285,140,20,42,28;16.8
423,1002296,141,21,43,18.6;25.5
424,1002298,131,14,41,10.8;14.3
425,1002299,131,14,41,9.2;13.6
426,1002300,130,13,40,7.7;12.4
427,1002301,130,13,40,7.6;12.4
428,1002302,130,13,40,7.7;12.5
429,1002305,140,20,42,21.7;22.9
430,1002306,140,20,42,21.7;22.8
431,1002307,145,22,44,13.5;23.4
432,1002308,145,22,44,13.7;24.8
433,1002309,145,22,44,13.9;24.3
434,1002310,145,22,44,25.1;14.7
435,1002311,145,22,44,25.1;14.6
436,1002312,145,22,44,25.1;14.6
437,1002313,145,22,44,25;14.7
438,1002314,145,22,44,25.1;14.6
439,1002315,140,20,42,13.6;10.5
440,1002316,140,20,42,12.7;14.4
441,1002317,140,20,42,16;7.1
442,1002322,140,20,42,23.8;21.7
443,1002323,140,20,42,24.1;21.6
444,1002324,140,20,42,23.7;22.1
445,1002365,146,23,45,18.1;13.5
446,1002367,137,17,32,21.5;21.4
447,1002371,152,5,55,11.8;25.5
448,1002372,153,6,56,17.1;28.8
449,1002373,153,6,56,17.1;28.7
450,1002374,153,6,56,25.5;20.1
451,1002375,153,6,56,25.5;20.1
452,1002376,154,7,57,21.6;25.8
453,1002377,154,7,57,21.7;25.9
454,1002384,155,53,63,26;28.3
455,1002388,128,11,28,13.1;12.7
456,1002391,130,13,40,8.3;9
457,1002394,132,2,52,9.8;11
458,1002397,153,6,56,16.7;28.3
459,1002398,147,24,46,22.1;29.4
460,1002401,155,53,63,12.6;16.7
461,1002433,129,12,29,11.1;11.2
462,1002434,129,12,29,11.1;11.2
463,1002445,135,16,31,24.2;40.2
464,1002446,135,16,31,20.7;38.3
465,1002447,135,16,31,23.7;29
466,1002448,135,16,31,22.3;29.2
467,1002449,135,16,31,22.3;29.2
468,1002450,135,16,31,22.3;29.2
469,1002451,135,16,31,22.1;29.3
470,1002452,135,16,31,22.4;29.1
471,1002453,135,16,31,28.1;34.3
472,1002454,135,16,31,27.1;33.7
473,1002455,135,16,31,25.4;33.8
474,1002456,135,16,31,19.5;36.1
475,1002463,135,16,31,26.4;36.9
476,1002464,135,16,31,26.5;36.9
477,1002465,135,16,31,26.4;36.9
478,1002515,135,16,31,21.2;38.1
479,1002550,135,16,31,31.1;19.3
480,1002571,135,16,31,32.4;19.9
481,1002579,135,16,31,31.6;20.2
482,1002591,135,16,31,32.8;19.4
483,1002600,135,16,31,31;19.5
484,1002605,135,16,31,27;22.1
485,1002611,135,16,31,31.3;19.2
486,1002614,135,16,31,31.3;19.5
487,1002626,134,15,30,25.6;17
488,1002627,134,15,30,25.5;17.2
489,1002628,134,15,30,25.4;16.8
490,1002629,134,15,30,22.5;17.7
491,1002630,134,15,30,25;27.3
492,1002631,134,15,30,21.4;15.3
493,1002632,134,15,30,21.5;15.6
494,1002633,134,15,30,26.1;16.6
495,1002634,134,15,30,24.9;17.1
496,1002635,134,15,30,22.1;18.4
497,1002636,134,15,30,21.8;16
498,1002637,134,15,30,23.3;16.3
499,1002638,134,15,30,24.8;17.6
500,1002639,134,15,30,25.4;16
501,1002640,134,15,30,24.1;24.1
502,1002641,134,15,30,25.2;23.9
503,1002642,134,15,30,25.3;24
504,1002643,134,15,30,25.3;23.8
505,1002644,134,15,30,21.1;12.4
506,1002645,134,15,30,18.5;14.7
507,1002646,134,15,30,20.3;13.2
508,1002647,134,15,30,20.7;12.8
509,1002648,134,15,30,21.4;12.3
510,1002651,135,16,31,23.6;34.9
511,1002652,135,16,31,35.5;15.3
512,1002653,135,16,31,35.6;15.2
513,1002654,135,16,31,33.5;15.3
514,1002655,135,16,31,35.2;17.6
515,1002656,135,16,31,33.6;17.7
516,1002657,135,16,31,32.2;20
517,1002658,135,16,31,27.7;15.3
518,1002659,135,16,31,32.1;20
519,1002660,135,16,31,32.3;21.3
520,1002661,135,16,31,32.9;20.7
521,1002678,135,16,31,27.7;14.9
522,1002679,128,11,28,11.1;6.1
523,1002680,128,11,28,11.2;6.3
524,1002682,128,11,28,9.5;8.1
525,1002683,135,16,31,32.6;19.8
526,1002684,138,18,33,27.4;23.2
527,1002685,135,16,31,16.7;34.9
528,1002686,135,16,31,32.5;20
529,1002687,135,16,31,32.7;19.1
530,1002688,135,16,31,31;20.7
531,1002689,135,16,31,32.8;14.2
532,1002693,128,11,28,11.1;10.9
533,1002694,198,75,351,3.5;3.4
534,1002695,128,11,28,10.7;11.1
535,1002697,181,11,27,11.6;11.1
536,1002698,181,11,27,11.4;11.3
537,1002703,128,11,28,10.9;11.2
538,1002713,135,16,31,32.5;20.1
539,1002714,135,16,31,32.9;14.1
540,1002715,135,16,31,32.8;14.1
541,1002732,181,11,27,11.4;11.5
542,1002754,153,6,56,17;28.2
543,1002755,153,6,56,17.1;28.2
544,1002762,153,6,56,17.4;28.8
545,1002768,154,7,57,21.9;26.5
546,1002779,154,7,57,20.7;25.9
547,1002780,154,7,57,19.6;25.3
548,1002800,154,7,57,21;24.9
549,1002804,154,7,57,20.9;24.9
550,1002815,154,7,57,20.9;24.9
551,1002829,133,3,53,8;11.1
552,1002830,132,2,52,11.9;13
553,1002932,148,4,54,20.1;31
554,1002934,153,6,56,18.1;20.2
555,1002935,153,6,56,18.1;20.2
556,1002937,152,5,55,20;25.2
557,1002946,148,4,54,20.6;28.2
558,1002947,141,21,43,19.5;20.5
559,1002948,141,21,43,19.8;20.6
560,1002949,141,21,43,19.8;20.7
561,1002950,141,21,43,19.8;20.7
562,1002951,141,21,43,19.8;20.8
563,1002955,141,21,43,16.9;23.8
564,1002960,152,5,55,20.1;26.1
565,1002961,148,4,54,20.1;20.7
566,1002962,148,4,54,24.5;20.7
567,1002963,148,4,54,28.1;29.9
568,1002965,153,6,56,22.4;21.4
569,1002966,153,6,56,23.9;18.8
570,1002967,153,6,56,27.3;19.2
571,1002968,153,6,56,28.1;19.7
572,1002998,152,5,55,15.8;20.6
573,1003001,152,5,55,16.7;26.3
574,1003002,148,4,54,17.6;27.3
575,1003006,152,5,55,19.9;27.1
576,1003027,205,69,347,6.2;6.1
577,1003057,152,5,55,16.7;26.3
578,1003061,204,68,346,3.5;3.4
579,1003066,153,6,56,19.3;22.6
580,1003067,153,6,56,19.3;22.7
581,1003068,153,6,56,19.3;22.7
582,1003072,154,7,57,24.7;27.6
583,1003073,154,7,57,24.7;27.6
584,1003075,154,7,57,30.2;20.2
585,1003239,134,15,30,15.8;16.4
586,1003240,134,15,30,13.4;14.6
587,1003241,134,15,30,17.3;8.8
588,1003242,134,15,30,15.6;16.9
589,1003243,134,15,30,15.8;16.7
590,1003244,138,18,33,34.4;32
591,1003245,138,18,33,34.5;31.9
592,1003246,138,18,33,30.3;30.5
593,1003249,128,11,28,9.9;7.9
594,1003252,129,12,29,8.4;11.8
595,1003253,129,12,29,8.2;11.9
596,1003254,129,12,29,6.3;11.9
597,1003257,134,15,30,25.5;17.3
598,1003258,135,16,31,32.5;20.4
599,1003259,135,16,31,25.5;35
600,1003260,135,16,31,21.4;38.7
601,1003261,137,17,32,30.6;31.2
602,1003262,137,17,32,20.7;20.6
603,1003263,138,18,33,34.8;31.3
604,1003264,138,18,33,26.2;26.1
605,1003265,138,18,33,26;26.1
606,1003266,138,18,33,22.5;22.7
607,1003267,139,19,34,14.8;24.2
608,1003268,139,19,34,30;23.7
609,1003269,139,19,34,30.6;23.3
610,1003270,139,19,34,26.1;26.4
611,1003272,129,12,29,5.9;12.2
612,1003274,129,12,29,9;11.5
613,1003275,129,12,29,8.2;11.5
614,1003277,129,12,29,8.5;11.5
615,1003281,128,11,28,13.1;12.8
616,1003282,128,11,28,11.1;6
617,1003283,138,18,33,34.8;32.1
618,1003284,138,18,33,34.7;32
619,1003285,138,18,33,34.8;31.9
620,1003286,138,18,33,34.9;31.9
621,1003349,134,15,30,25.5;16.9
622,1003355,129,12,29,10;11.3
623,1003359,138,18,33,26.7;25.5
624,1003393,138,18,33,27.5;28.5
625,1003438,138,18,33,22.4;20
626,1003450,138,18,33,23.2;22.2
627,1003475,138,18,33,23.1;20.3
628,1003505,129,12,29,7.5;12.3
629,1003516,129,12,29,7.5;14.6
630,1003546,135,16,31,32.7;19.8
631,1003547,135,16,31,32.7;19.8
632,1003548,135,16,31,32.7;19.8
633,1003550,128,11,28,12.7;12.8
634,1003556,135,16,31,20.7;38.3
635,1003585,137,17,32,33.5;29.2
636,1003596,129,12,29,10.4;11.1
637,1003598,128,11,28,10.9;11.4
638,1003601,128,11,28,11.1;11
639,1003603,129,12,29,11.6;11.3
640,1003604,129,12,29,10;11.1
641,1003621,129,12,29,7.3;15.4
642,1003628,129,12,29,7.5;14.6
643,1003629,129,12,29,7.8;14.7
644,1003674,133,3,53,12.7;9.4
645,1003675,133,3,53,14.2;9.2
646,1003676,133,3,53,9.3;8.1
647,1003681,140,20,42,15.1;29.2
648,1003682,140,20,42,15.9;29.7
649,1003683,140,20,42,15.4;27.8
650,1003684,140,20,42,15.2;29.2
651,1003685,140,20,42,17.1;28.7
652,1003724,140,20,42,25.6;24.1
653,1003725,140,20,42,25.6;24.7
654,1003735,140,20,42,22.4;16.8
655,1003737,140,20,42,22.3;16.1
656,1003783,212,80,356,6.9;6.1
657,1003785,140,20,42,11.6;13.8
658,1003814,140,20,42,26.7;21.3
659,1003816,140,20,42,16.7;15.6
660,1003817,130,13,40,9.7;10.3
661,1003818,131,14,41,14.3;13.2
662,1003819,131,14,41,11.5;13.4
663,1003820,130,13,40,9.9;8.8
664,1003821,131,14,41,11.2;11.3
665,1003822,141,21,43,20.9;18.5
666,1003823,131,14,41,11.2;11.3
667,1003824,131,14,41,14.3;13.2
668,1003825,131,14,41,14.3;13.2
669,1003826,131,14,41,11.5;13.4
670,1003827,130,13,40,9.9;10.2
671,1003829,146,23,45,18.5;14.2
672,1003830,146,23,45,15.4;30.9
673,1003889,140,20,42,25.7;24.5
674,1003890,130,13,40,10.8;8.3
675,1003896,131,14,41,9.3;11.6
676,1003897,130,13,40,7.3;12.4
677,1003898,130,13,40,9;9.7
678,1003899,131,14,41,12.8;11.4
679,1003902,131,14,41,9.7;10.8
680,1003908,131,14,41,13.9;10.4
681,1003909,131,14,41,11.6;14.6
682,1003910,131,14,41,11.1;14.5
683,1003911,131,14,41,9.5;11.4
684,1003912,131,14,41,13.9;13.1
685,1003913,131,14,41,11.7;11.4
686,1003914,131,14,41,14.3;13.2
687,1003915,131,14,41,11.5;13.4
688,1003916,131,14,41,14.3;13.2
689,1003917,131,14,41,14.3;13.2
690,1003918,131,14,41,11.2;11.3
691,1003919,131,14,41,11.5;13.4
692,1003920,131,14,41,14.3;13.2
693,1003921,131,14,41,11.7;11.4
694,1003924,131,14,41,14.3;13.2
695,1003926,131,14,41,9.6;11.1
696,1003927,131,14,41,13.3;10.5
697,1003929,145,22,44,13.9;23.6
698,1003931,145,22,44,13.8;23.3
699,1003932,145,22,44,13.6;23.3
700,1003936,145,22,44,11.1;21.4
701,1003937,145,22,44,11.1;21.4
702,1003939,145,22,44,10.6;16.6
703,1003940,145,22,44,10.6;16.6
704,1003941,145,22,44,19.8;24.7
705,1003942,145,22,44,14.6;26.3
706,1003943,145,22,44,14.7;26.3
707,1003944,145,22,44,14.7;26.3
708,1003945,141,21,43,21.9;22.4
