Identifier,BlockedTiles,Present,Sword,Sword3x2,ConfirmedFoxes
A↓,0 9 22 25 27,6,4,false,1 2 18 26
A↓,0 9 22 25 27,14,4,false,1 2 18 26
B←,8 12 15 23 26,0,18,false,14 17 22 33
B←,8 12 15 23 26,4,18,false,14 17 22 33
B←,8 12 15 23 26,28,18,false,7 9 20 21
B←,8 12 15 23 26,10,18,false,7 9 20 21
B←,8 12 15 23 26,28,3,true,14 17 22 33
B←,8 12 15 23 26,18,3,true,14 17 22 33
B←,8 12 15 23 26,21,3,true,2 19 24 31
B←,8 12 15 23 26,0,3,true,2 19 24 31
B←,8 12 15 23 26,0,4,false,2 19 24 31
B←,8 12 15 23 26,28,4,false,2 19 24 31
B←,8 12 15 23 26,24,27,true,7 9 20 21
B←,8 12 15 23 26,4,27,true,7 9 20 21
B←,8 12 15 23 26,13,27,true,0 5 18 32
B←,8 12 15 23 26,3,27,true,0 5 18 32
B←,8 12 15 23 26,24,21,false,0 5 18 32
B←,8 12 15 23 26,10,21,false,0 5 18 32
B,3 13 16 21 32,4,0,true,15 18 26 33
B,3 13 16 21 32,28,0,true,15 18 26 33
B,3 13 16 21 32,24,0,true,10 14 20 22
B,3 13 16 21 32,27,0,true,10 14 20 22
B,3 13 16 21 32,24,22,false,15 18 26 33
B,3 13 16 21 32,1,22,false,15 18 26 33
B,3 13 16 21 32,19,22,false,1 6 8 17
B,3 13 16 21 32,4,22,false,1 6 8 17
B,3 13 16 21 32,4,27,true,1 6 8 17
B,3 13 16 21 32,24,27,true,1 6 8 17
B,3 13 16 21 32,0,18,false,10 14 20 22
B,3 13 16 21 32,28,18,false,10 14 20 22
B,3 13 16 21 32,8,18,false,2 5 12 35
B,3 13 16 21 32,22,18,false,2 5 12 35
B,3 13 16 21 32,0,18,true,2 5 12 35
B,3 13 16 21 32,27,18,true,2 5 12 35
B→,9 12 20 23 27,28,4,false,2 13 18 21
B→,9 12 20 23 27,24,4,false,2 13 18 21
B→,9 12 20 23 27,0,4,false,14 15 26 28
B→,9 12 20 23 27,18,4,false,14 15 26 28
B→,9 12 20 23 27,0,24,true,2 13 18 21
B→,9 12 20 23 27,10,24,true,2 13 18 21
B→,9 12 20 23 27,7,24,true,4 11 16 33
B→,9 12 20 23 27,28,24,true,4 11 16 33
B→,9 12 20 23 27,28,18,false,4 11 16 33
B→,9 12 20 23 27,0,18,false,4 11 16 33
B→,9 12 20 23 27,4,0,true,14 15 26 28
B→,9 12 20 23 27,24,0,true,14 15 26 28
B→,9 12 20 23 27,15,0,true,3 17 30 35
B→,9 12 20 23 27,25,0,true,3 17 30 35
B→,9 12 20 23 27,4,1,false,3 17 30 35
B→,9 12 20 23 27,18,1,false,3 17 30 35
B↓,3 14 19 22 32,24,27,true,2 9 17 20
B↓,3 14 19 22 32,0,27,true,2 9 17 20
B↓,3 14 19 22 32,4,27,true,13 15 21 25
B↓,3 14 19 22 32,1,27,true,13 15 21 25
B↓,3 14 19 22 32,4,0,false,2 9 17 20
B↓,3 14 19 22 32,27,0,false,2 9 17 20
B↓,3 14 19 22 32,9,0,false,18 27 29 34
B↓,3 14 19 22 32,24,0,false,18 27 29 34
B↓,3 14 19 22 32,24,0,true,18 27 29 34
B↓,3 14 19 22 32,4,0,true,18 27 29 34
B↓,3 14 19 22 32,28,4,false,13 15 21 25
B↓,3 14 19 22 32,0,4,false,13 15 21 25
B↓,3 14 19 22 32,20,4,false,0 23 30 33
B↓,3 14 19 22 32,6,4,false,0 23 30 33
B↓,3 14 19 22 32,28,9,true,0 23 30 33
B↓,3 14 19 22 32,1,9,true,0 23 30 33
C←,6 14 17 25 28,26,1,true,15 16 29 30
C←,6 14 17 25 28,4,1,true,15 16 29 30
C←,6 14 17 25 28,26,2,true,5 11 19 34
C←,6 14 17 25 28,15,2,true,5 11 19 34
C←,6 14 17 25 28,12,3,true,2 7 22 31
C←,6 14 17 25 28,20,3,true,2 7 22 31
C←,6 14 17 25 28,15,3,true,0 20 24 35
C←,6 14 17 25 28,26,3,true,0 20 24 35
C←,6 14 17 25 28,12,3,false,2 7 22 31
C←,6 14 17 25 28,26,3,false,2 7 22 31
C←,6 14 17 25 28,20,3,false,5 11 19 34
C←,6 14 17 25 28,1,3,false,5 11 19 34
C←,6 14 17 25 28,12,9,false,0 20 24 35
C←,6 14 17 25 28,1,9,false,0 20 24 35
C←,6 14 17 25 28,12,20,false,15 16 29 30
C,4 7 15 25 33,12,10,false,0 21 27 31
C,4 7 15 25 33,28,10,false,0 21 27 31
C,4 7 15 25 33,12,16,false,8 24 34 35
C,4 7 15 25 33,20,16,false,8 24 34 35
C,4 7 15 25 33,2,22,false,6 10 17 26
C,4 7 15 25 33,13,22,false,6 10 17 26
C,4 7 15 25 33,20,22,false,1 5 14 30
C,4 7 15 25 33,12,22,false,1 5 14 30
C,4 7 15 25 33,2,21,true,6 10 17 26
C,4 7 15 25 33,12,21,true,6 10 17 26
C,4 7 15 25 33,13,21,true,8 24 34 35
C,4 7 15 25 33,10,21,true,8 24 34 35
C,4 7 15 25 33,2,20,true,1 5 14 30
C,4 7 15 25 33,10,20,true,1 5 14 30
C,4 7 15 25 33,2,12,true,0 21 27 31
C→,7 10 18 21 29,2,26,true,5 6 19 20
C→,7 10 18 21 29,24,26,true,5 6 19 20
C→,7 10 18 21 29,2,25,true,1 16 24 30
C→,7 10 18 21 29,13,25,true,1 16 24 30
C→,7 10 18 21 29,16,24,true,4 13 28 33
C→,7 10 18 21 29,8,24,true,4 13 28 33
C→,7 10 18 21 29,13,24,true,0 11 15 35
C→,7 10 18 21 29,2,24,true,0 11 15 35
C→,7 10 18 21 29,16,19,false,4 13 28 33
C→,7 10 18 21 29,2,19,false,4 13 28 33
C→,7 10 18 21 29,8,19,false,1 16 24 30
C→,7 10 18 21 29,27,19,false,1 16 24 30
C→,7 10 18 21 29,16,13,false,0 11 15 35
C→,7 10 18 21 29,27,13,false,0 11 15 35
C→,7 10 18 21 29,16,2,false,5 6 19 20
C↓,2 10 20 28 31,16,12,false,4 8 14 35
C↓,2 10 20 28 31,0,12,false,4 8 14 35
C↓,2 10 20 28 31,16,6,false,0 1 11 27
C↓,2 10 20 28 31,8,6,false,0 1 11 27
C↓,2 10 20 28 31,26,0,false,9 18 25 29
C↓,2 10 20 28 31,15,0,false,9 18 25 29
C↓,2 10 20 28 31,8,0,false,5 21 30 34
C↓,2 10 20 28 31,16,0,false,5 21 30 34
C↓,2 10 20 28 31,26,6,true,9 18 25 29
C↓,2 10 20 28 31,16,6,true,9 18 25 29
C↓,2 10 20 28 31,15,6,true,0 1 11 27
C↓,2 10 20 28 31,18,6,true,0 1 11 27
C↓,2 10 20 28 31,26,7,true,5 21 30 34
C↓,2 10 20 28 31,18,7,true,5 21 30 34
C↓,2 10 20 28 31,26,15,true,4 8 14 35
D←,8 16 23 25 33,14,6,false,1 11 29 34
D←,8 16 23 25 33,21,6,false,1 11 29 34
D←,8 16 23 25 33,3,0,false,5 14 15 30
D←,8 16 23 25 33,28,0,false,5 14 15 30
D←,8 16 23 25 33,0,12,true,2 22 24 26
D←,8 16 23 25 33,28,12,true,2 22 24 26
D←,8 16 23 25 33,4,13,true,3 12 17 18
D←,8 16 23 25 33,28,13,true,3 12 17 18
D←,8 16 23 25 33,12,3,true,2 22 24 26
D←,8 16 23 25 33,0,3,true,2 22 24 26
D←,8 16 23 25 33,12,20,true,5 14 15 30
D←,8 16 23 25 33,3,20,true,5 14 15 30
D←,8 16 23 25 33,12,14,false,1 11 29 34
D←,8 16 23 25 33,3,14,false,1 11 29 34
D←,8 16 23 25 33,0,14,false,3 12 17 18
D←,8 16 23 25 33,4,14,false,3 12 17 18
D,7 16 18 27 32,14,2,true,11 24 31 34
D,7 16 18 27 32,19,2,true,11 24 31 34
D,7 16 18 27 32,22,3,true,0 15 21 35
D,7 16 18 27 32,24,3,true,0 15 21 35
D,7 16 18 27 32,4,2,false,1 13 17 26
D,7 16 18 27 32,24,2,false,1 13 17 26
D,7 16 18 27 32,28,8,false,2 3 23 33
D,7 16 18 27 32,24,8,false,2 3 23 33
D,7 16 18 27 32,2,22,false,1 13 17 26
D,7 16 18 27 32,4,22,false,1 13 17 26
D,7 16 18 27 32,2,13,false,0 15 21 35
D,7 16 18 27 32,22,13,false,0 15 21 35
D,7 16 18 27 32,2,13,true,11 24 31 34
D,7 16 18 27 32,22,13,true,11 24 31 34
D,7 16 18 27 32,4,13,true,2 3 23 33
D,7 16 18 27 32,28,13,true,2 3 23 33
D→,2 10 12 19 27,14,16,false,1 6 24 34
D→,2 10 12 19 27,7,16,false,1 6 24 34
D→,2 10 12 19 27,25,22,false,5 20 21 30
D→,2 10 12 19 27,0,22,false,5 20 21 30
D→,2 10 12 19 27,28,15,true,9 11 13 33
D→,2 10 12 19 27,0,15,true,9 11 13 33
D→,2 10 12 19 27,24,14,true,17 18 23 32
D→,2 10 12 19 27,0,14,true,17 18 23 32
D→,2 10 12 19 27,16,24,true,9 11 13 33
D→,2 10 12 19 27,28,24,true,9 11 13 33
D→,2 10 12 19 27,16,7,true,5 20 21 30
D→,2 10 12 19 27,25,7,true,5 20 21 30
D→,2 10 12 19 27,16,8,false,1 6 24 34
D→,2 10 12 19 27,25,8,false,1 6 24 34
D→,2 10 12 19 27,28,8,false,17 18 23 32
D→,2 10 12 19 27,24,8,false,17 18 23 32
D↓,3 8 17 19 28,14,25,true,1 4 11 24
D↓,3 8 17 19 28,9,25,true,1 4 11 24
D↓,3 8 17 19 28,6,24,true,0 14 20 35
D↓,3 8 17 19 28,4,24,true,0 14 20 35
D↓,3 8 17 19 28,24,20,false,9 18 22 34
D↓,3 8 17 19 28,4,20,false,9 18 22 34
D↓,3 8 17 19 28,0,14,false,2 12 32 33
D↓,3 8 17 19 28,4,14,false,2 12 32 33
D↓,3 8 17 19 28,26,0,false,9 18 22 34
D↓,3 8 17 19 28,24,0,false,9 18 22 34
D↓,3 8 17 19 28,26,9,false,0 14 20 35
D↓,3 8 17 19 28,6,9,false,0 14 20 35
D↓,3 8 17 19 28,26,14,true,1 4 11 24
D↓,3 8 17 19 28,6,14,true,1 4 11 24
D↓,3 8 17 19 28,24,14,true,2 12 32 33
D↓,3 8 17 19 28,0,14,true,2 12 32 33
